#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,instance,job,user
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:53.406Z,86257664,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:21:58.406Z,86306816,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:03.406Z,86388736,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:08.405Z,86413312,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:13.405Z,86462464,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:18.403Z,86519808,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:23.405Z,86577152,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:28.403Z,86618112,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:33.405Z,86650880,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:38.405Z,86700032,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:43.406Z,86740992,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:48.406Z,86781952,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:53.406Z,86831104,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:22:58.405Z,86872064,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:03.405Z,86962176,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:08.403Z,86986752,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:13.403Z,87044096,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:18.403Z,87085056,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:23.403Z,87134208,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:28.403Z,87207936,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:33.403Z,87298048,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:38.403Z,87355392,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:43.398Z,87404544,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:48.397Z,87453696,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:23:53.397Z,87494656,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
