"Time","TARGET"
2023-11-08 11:11:45,10.2 GB
2023-11-08 11:12:00,10.2 GB
2023-11-08 11:12:15,10.3 GB
2023-11-08 11:12:30,10.4 GB
2023-11-08 11:12:45,10.5 GB
2023-11-08 11:13:00,10.6 GB
2023-11-08 11:13:15,10.8 GB
2023-11-08 11:13:30,10.9 GB
2023-11-08 11:13:45,11.0 GB
2023-11-08 11:14:00,11.1 GB
2023-11-08 11:14:15,11.2 GB
2023-11-08 11:14:30,11.3 GB
2023-11-08 11:14:45,11.4 GB
2023-11-08 11:15:00,11.5 GB
2023-11-08 11:15:15,11.7 GB
2023-11-08 11:15:30,11.8 GB
2023-11-08 11:15:45,11.9 GB
2023-11-08 11:16:00,12.1 GB
2023-11-08 11:16:15,12.3 GB
2023-11-08 11:16:30,12.5 GB
2023-11-08 11:16:45,12.7 GB
2023-11-08 11:17:00,12.8 GB
2023-11-08 11:17:15,13.0 GB
2023-11-08 11:17:30,13.2 GB
2023-11-08 11:17:45,13.4 GB
2023-11-08 11:18:00,13.7 GB
2023-11-08 11:18:15,13.7 GB
2023-11-08 11:18:30,13.8 GB
2023-11-08 11:18:45,13.9 GB
2023-11-08 11:19:00,14.0 GB
2023-11-08 11:19:15,14.1 GB
2023-11-08 11:19:30,14.2 GB
2023-11-08 11:19:45,14.4 GB
2023-11-08 11:20:00,14.5 GB
2023-11-08 11:20:15,14.6 GB
2023-11-08 11:20:30,14.7 GB
2023-11-08 11:20:45,14.9 GB
2023-11-08 11:21:00,15.0 GB
2023-11-08 11:21:15,15.1 GB
2023-11-08 11:21:30,15.2 GB
2023-11-08 11:21:45,15.3 GB
2023-11-08 11:22:00,15.5 GB
2023-11-08 11:22:15,15.6 GB
2023-11-08 11:22:30,15.7 GB
2023-11-08 11:22:45,15.8 GB
2023-11-08 11:23:00,15.9 GB
2023-11-08 11:23:15,16.0 GB
2023-11-08 11:23:30,16.1 GB
2023-11-08 11:23:45,16.2 GB
2023-11-08 11:24:00,16.3 GB
2023-11-08 11:24:15,16.4 GB
2023-11-08 11:24:30,16.5 GB
2023-11-08 11:24:45,16.6 GB
2023-11-08 11:25:00,16.7 GB
2023-11-08 11:25:15,16.8 GB
2023-11-08 11:25:30,16.9 GB
2023-11-08 11:25:45,17.1 GB
2023-11-08 11:26:00,17.3 GB
2023-11-08 11:26:15,17.4 GB
2023-11-08 11:26:30,10.2 GB
2023-11-08 11:26:45,10.2 GB
2023-11-08 11:27:00,10.2 GB
2023-11-08 11:27:15,10.2 GB
2023-11-08 11:27:30,10.2 GB
2023-11-08 11:27:45,10.2 GB
2023-11-08 11:28:00,10.2 GB
2023-11-08 11:28:15,10.2 GB
2023-11-08 11:28:30,10.2 GB
2023-11-08 11:28:45,10.2 GB
2023-11-08 11:29:00,10.2 GB
2023-11-08 11:29:15,10.2 GB
2023-11-08 11:29:30,10.2 GB
2023-11-08 11:29:45,10.2 GB
2023-11-08 11:30:00,10.2 GB
2023-11-08 11:30:15,10.2 GB
2023-11-08 11:30:30,10.2 GB
2023-11-08 11:30:45,10.2 GB
2023-11-08 11:31:00,10.2 GB
2023-11-08 11:31:15,10.2 GB
2023-11-08 11:31:30,10.2 GB
2023-11-08 11:31:45,10.2 GB
2023-11-08 11:32:00,10.2 GB
2023-11-08 11:32:15,10.3 GB
2023-11-08 11:32:30,10.5 GB
2023-11-08 11:32:45,10.6 GB
2023-11-08 11:33:00,10.7 GB
2023-11-08 11:33:15,10.8 GB
2023-11-08 11:33:30,11.0 GB
2023-11-08 11:33:45,11.1 GB
2023-11-08 11:34:00,11.2 GB
2023-11-08 11:34:15,11.3 GB
2023-11-08 11:34:30,11.4 GB
2023-11-08 11:34:45,11.5 GB
2023-11-08 11:35:00,11.7 GB
2023-11-08 11:35:15,11.7 GB
2023-11-08 11:35:30,11.9 GB
2023-11-08 11:35:45,12.0 GB
2023-11-08 11:36:00,12.1 GB
2023-11-08 11:36:15,12.3 GB
2023-11-08 11:36:30,12.5 GB
2023-11-08 11:36:45,12.7 GB
2023-11-08 11:37:00,12.9 GB
2023-11-08 11:37:15,13.1 GB
2023-11-08 11:37:30,13.3 GB
2023-11-08 11:37:45,13.5 GB
2023-11-08 11:38:00,13.5 GB
2023-11-08 11:38:15,13.8 GB
2023-11-08 11:38:30,14.1 GB
2023-11-08 11:38:45,14.4 GB
2023-11-08 11:39:00,14.4 GB
2023-11-08 11:39:15,14.4 GB
2023-11-08 11:39:30,14.4 GB
2023-11-08 11:39:45,14.6 GB
2023-11-08 11:40:00,14.6 GB
2023-11-08 11:40:15,14.7 GB
2023-11-08 11:40:30,14.9 GB
2023-11-08 11:40:45,15.0 GB
2023-11-08 11:41:00,15.1 GB
2023-11-08 11:41:15,15.2 GB
2023-11-08 11:41:30,15.3 GB
2023-11-08 11:41:45,15.4 GB
2023-11-08 11:42:00,15.6 GB
2023-11-08 11:42:15,15.7 GB
2023-11-08 11:42:30,15.8 GB
2023-11-08 11:42:45,15.9 GB
2023-11-08 11:43:00,16.0 GB
2023-11-08 11:43:15,16.2 GB
2023-11-08 11:43:30,16.3 GB
2023-11-08 11:43:45,16.4 GB
2023-11-08 11:44:00,16.5 GB
2023-11-08 11:44:15,16.6 GB
2023-11-08 11:44:30,16.8 GB
2023-11-08 11:44:45,16.9 GB
2023-11-08 11:45:00,17.0 GB
2023-11-08 11:45:15,17.0 GB
2023-11-08 11:45:30,17.1 GB
2023-11-08 11:45:45,17.2 GB
2023-11-08 11:46:00,17.3 GB
2023-11-08 11:46:15,17.4 GB
2023-11-08 11:46:30,17.5 GB
2023-11-08 11:46:45,17.6 GB
2023-11-08 11:47:00,17.7 GB
2023-11-08 11:47:15,17.8 GB
2023-11-08 11:47:30,17.9 GB
2023-11-08 11:47:45,18.0 GB
2023-11-08 11:48:00,18.1 GB
2023-11-08 11:48:15,18.3 GB
2023-11-08 11:48:30,18.5 GB
2023-11-08 11:48:45,18.6 GB
2023-11-08 11:49:00,18.8 GB
2023-11-08 11:49:15,18.9 GB
2023-11-08 11:49:30,10.2 GB
2023-11-08 11:49:45,10.2 GB
2023-11-08 11:50:00,10.2 GB
2023-11-08 11:50:15,10.2 GB
2023-11-08 11:50:30,10.2 GB
2023-11-08 11:50:45,10.2 GB
2023-11-08 11:51:00,10.2 GB
2023-11-08 11:51:15,10.2 GB
2023-11-08 11:51:30,10.2 GB
2023-11-08 11:51:45,10.2 GB
2023-11-08 11:52:00,10.2 GB
2023-11-08 11:52:15,10.2 GB
